"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
26,"2","E C Gaston","AL","01117","SRSE","Boiler Gas",225.322429865108,207.458448499999,0.105336887011615,248.423244499999,0.126136734493872,235.255128919803,0.105336887011614,276.70825454047,0.123897771230512,-86.4567,33.2442
10745,"004","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",109.85088186309,1.4275215,0.000600046450335811,246.5892055,0.103651663005707,0.367357832686196,0.000600046450335809,64.633793640387,0.105573571582944,-84.2242,43.5861
55206,"CU2","Corpus Christi Energy Center","TX","48355","TRE","Combined Cycle Gas",319.579343374682,3.5942735,0.000600031077525223,243.591527,0.0406653768617843,1.8762297806058,0.000600031077525223,127.207130376526,0.0406817076979098,-97.4283,27.8139
2516,"2","Northport","NY","36103","NYCW","Boiler Gas",377.085561371817,359.257731499998,0.113704955255306,243.0598855,0.0769283747624443,368.401918049313,0.113704955255308,250.381755368661,0.0772787678242444,-73.3417,40.9231
1047,"4","Lansing","IA","19005","MISW","Coal",250.462196460909,302.715082499999,0.0530076362413281,242.57146,0.0424760458184567,0,NA,0,NA,-91.1672,43.3359
10671,"2B","River Valley","OK","40079","SPPS","Coal",62.3911781440166,176.1942925,0.162023400917798,241.350913999999,0.221939628951937,57.9568998224687,0.162023400917799,79.2180172344321,0.221460647577832,-94.670099,35.170591
10745,"006","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",110.260860273579,1.57644949999999,0.000600048001228959,241.1034605,0.0917718262224135,0.409058385411461,0.00060004800122896,63.1094156417296,0.0925752412493791,-84.2242,43.5861
3456,"2","Newman Power Station","TX","48141","SRSG","Boiler Gas",75.367187763315,0.824927000000006,0.000600094892927943,235.384740499998,0.171231127902489,0,NA,0,NA,-106.4322,31.9858
56808,"2","Virginia City Hybrid Energy Center","VA","51195","PJMW","Coal",221.207053094898,16.9393590000001,0.0046536652299636,233.0827065,0.0640336441859963,12.7707533796768,0.00465366522996359,175.585502314271,0.0639833941438382,-82.3383,36.9164
55064,"002","Blackhawk Station","TX","48233","SPPS","Simple Cycle Gas",198.930875473961,27.0756794999999,0.00579243523909343,233.024225,0.0498520353829881,29.6522302489967,0.00579243523909352,255.198384395702,0.049851903290931,-101.36,35.6957
