"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-27,"Parts per million","None",17,100,0.026059,0.036,9,33,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-02-28,"Parts per million","None",17,100,0.026941,0.034,18,31,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-01,"Parts per million","None",17,100,0.031941,0.037,11,34,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-02,"Parts per million","None",17,100,0.027765,0.036,9,33,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-03,"Parts per million","None",17,100,0.032059,0.044,10,41,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-04,"Parts per million","None",17,100,0.035059,0.041,9,38,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-05,"Parts per million","None",17,100,0.029529,0.039,10,36,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-06,"Parts per million","None",17,100,0.027412,0.045,10,42,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-07,"Parts per million","None",17,100,0.032647,0.044,9,41,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-03-08,"Parts per million","None",17,100,0.038,0.049,10,45,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
